Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Центральное управление,39 Калининградская область,первичная выездная проверка (по поручению 85 РП),ООО «Мегаполис-ТЛК»,3 905 061 615,А21-06059-0001,29.05.2017,09.06.2017,8,8,1,3,6,0,0,2,0,11,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,39 Калининградская область,первичная выездная проверка (по поручению 85 РП),ООО «Вестер Строй Сервис»,3 906 075 804,А21-06317-0001,10.07.2017,14.07.2017,2,2,2,0,2,0,0,0,0,2,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Ремэкс-М""",7 715 807 885,А01-12850-0001,05.12.2017,15.12.2017,15,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,39 Калининградская область,первичная выездная проверка (по поручению 85 РП),ООО «АСАП»,3 906 201 054,"А21-06729-0001, А21-06729-0002",18.07.2017,25.07.2017,2,2,0,2,1,0,1,0,0,4,0, -   ? ,1, 40 000.00 ? ,0,1,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"АО ""Опытный завод Гидромонтаж""",5 030 026 848,А02-50775-0007,30.10.2017,08.11.2017,1,1,0,7,4,1,0,0,0,12,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Климовский трубный завод""",5 021 012 366,А02-52317-0001,16.08.2017,29.08.2017,2,2,0,6,3,0,0,0,0,9,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"АО ""ЭХО""",5 037 050 504,А02-31491-0001,27.09.2017,04.10.2017,3,3,1,9,4,1,0,0,0,14,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),ЗАО «ФИРМА МЕБЕ»,7 710 058 336,А02-90321-0001,17.05.2017,30.05.2017,11,11,10,3,19,0,1,0,0,23,1, 300 000.00 ? ,0, -   ? ,1,0,0,0,,"?Liebherr 132EC-H8, зав. № 46547, рег. № 110816
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ПКФ ""Остов""",50 330 043 138,А02-52877-0001,12.09.2017,14.09.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Кран продан новому владельцу.
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Эммет""",5 036 129 328,А02-91344-0001,27.11.2017,08.12.2017,1,1,0,5,1,1,0,0,0,7,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,ЗАО «ФИРМА МЕБЕ»,7 710 058 336,А02-90321-0001,26.09.2017,27.09.2017,11,11,10,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""Климовский трубный завод""",5 021 012 366,А02-52317-0001,11.01.2018,12.01.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,37 Ивановская область,первичная выездная проверка (по поручению 85 РП),ООО «Инжспецстройсервис»,3 729 025 866,А16-04320-0001,15.05.2017,17.05.2017,2,1,1,0,0,0,0,0,2,2,0, -   ? ,0, -   ? ,0,0,0,0,,"?В ходе проведения проверки установлено, что согласно договора купли-продажи от 01.04.2016 кран башенный КБ-308, зав.№2173, учетный № А16-00100-0001пс, а также кран башенный КБ-403А зав.№1088, учетный №А16-00100-0002пс ранее принадлежавшие ООО «Инжспецстройсервис» переданы ООО «Стройинвест». Таким образом, на момент проведения проверки ООО «Инжспецстройсервис» не является организацией эксплуатирующей опасный производственный объект - Участок механизации, рег. № А16-04320-0001 и владельцем вышеуказанных кранов. ООО «Инжспецстройсервис» выдано предписание о снятии с учета ТУ и исключении ОПО из госреестра всвязи со сменой организации-владельца"
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""Империал-Строй""",7 727 270 490,А02-91528-0001,24.05.2018,25.05.2018,5,5,3,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,67 Смоленская область,первичная выездная проверка (по поручению 85 РП),"ООО ""ТомСолСервис""",6 729 017 758,,20.06.2017,28.06.2017,1,1,0,0,11,0,0,0,0,11,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,37 Ивановская область,первичная выездная проверка (по поручению 85 РП),ООО «Олимп-Строй и К»,3 702 055 550,А16-03808-0001,22.06.2017,30.06.2017,1,1,0,1,6,2,0,0,7,16,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,"Руководитель вызван на составление протокола по ч. 1 ст. 9.1 КоАП до настоящего времени не уведомлен надлежащим образом.
"
Центральное управление,37 Ивановская область,первичная выездная проверка (по поручению 85 РП),ООО «Стройкомплект»,3 702 526 110,,11.07.2017,12.07.2017,3,0,3,0,0,0,0,0,1,1,0, -   ? ,0, -   ? ,0,0,0,0,,"?       В ходе проведения проверки установлено, что согласно договора аренды от 26.11.2015 №6 кран башенный КБ-309 ХЛ, зав.№2478, рег.№25378,кран башенный КБ-309 ХЛ, зав.№2250, рег.№ 25484, кран башенный КБ-309 ХЛ, зав.№1764, рег.№ 25488 ранее принадлежавшие ООО «Стройкомплект» переданы ЗАО «Техстрой». Таким образом, на момент проведения проверки ООО «Стройкомплект» не является организацией эксплуатирующей опасный производственный объект и владельцем вышеуказанных кранов."
